no,tag,key,str
10,반품,반품배송비(왕복),"[미건철물장식] 저희제품을 이용해 주심에 대단히 감사드리며 반품배송비가 발생하여 안내해 드립니다.

-반품 접수 시 반품배송비 결제방식을 환불금에서 차감으로 선택하지 않으신 경우 임의 차감 환불이 불가능하오니 양해 바랍니다.
-일반반품이실 경우 왕복 5,500원이며 계좌 기업 010-2794-9795 박상은 입금 확인 즉시 환불요청 됩니다.
-환불 기준 금액은 결제금액 전액(구매시 지불된 배송비 포함, 조건부 무료, 일부반품 시 예외)입니다.
-정상 반품의 경우 네이버쇼핑 구매내역의 반품상세정보에서 반품배송비결제가 가능합니다.
-입금확인즉시 환불요청되며 관련 자세한 사항은 해당 주문내역이나 네이버쇼핑 고객센터를 통해 확인하실 수 있습니다.

궁금하신 점이 있으시면 언제든지 연락 주세요^^ 감사합니다!"
11,반품,반품배송비(수거편도),"[미건철물장식] 저희제품을 이용해 주심에 대단히 감사드리며 반품배송비가 발생하여 안내해 드립니다.

-반품 접수 시 반품배송비 결제방식을 환불금에서 차감으로 선택하지 않으신 경우 임의 차감 환불이 불가능하오니 양해 바랍니다.
-일부 반품이실 경우 편도 3,000원이며 계좌 기업 010-2794-9795 박상은 입금 확인 즉시 환불요청 됩니다.
-환불 기준 금액은 결제금액 전액(구매시 지불된 배송비 포함, 조건부 무료, 일부반품 시 예외)입니다.
-정상 반품의 경우 네이버쇼핑 구매내역의 반품상세정보에서 반품배송비결제가 가능합니다.
-입금확인즉시 환불요청되며 관련 자세한 사항은 해당 주문내역이나 네이버쇼핑 고객센터를 통해 확인하실 수 있습니다.

궁금하신 점이 있으시면 언제든지 연락 주세요^^ 감사합니다!"
12,반품,반품누락청구,"[미건철물장식] 저희 제품을 이용해 주심에 대단히 감사드리며 요청하신 반품에 대한 안내 드립니다.
스토어팜 정책상 배송비를 제외한 전액환불만 가능하기에 반품시 누락(손상)된 상품에 대한 금액을 아래 계좌로 입금해 주시면 확인 즉시 반품배송비를 제외한 전액 환불요청 하도록 하겠습니다.

내역 : 3단볼레일댐핑450mm(단가8.950원) 1조,
입금계좌 : 기업 010-2794-9795 박상은 금액 총8,950원

확인해 보시고 관련 의문사항이 있으시면 문의 남겨 주세요^^ 감사합니다!"
13,반품,피스값청구,"[미건철물장식] 저희 제품을 이용해 주셔서 대단히 감사드리며, 아쉽게도 보내주신 반품 상품 중 함께 보내드렸던 피스가 누락되어 요청드리게 된 점 양해 부탁드립니다.
사은품 역시 판매가에 포함된 가격으로 고객님께 깊은 양해 부탁드립니다.
아래 계좌로 보내주시고 연락주시면 즉시 반품배송비를 제외한 결제금액 전액 환불요청 하도록 됩니다.

입금계좌 : 기업 010-2794-9795 박상은
내역 : 사은품가격(피스) 1,000원

확인해 보시고 관련 의문사항이 있으시면 언제든 연락 주세요~ 감사합니다!"
14,안내,환불완료안내,"[미건철물장식] 요청하신 반품 및 환불요청이 완료되었습니다.
환불에 대한 자세한 사항은 네이버쇼핑 주문내역을 통해 확인하실 수 있습니다.
상품이나 관련 궁금하신점이 있으시면 언제든지 문의주세요^^ 감사합니다!"
15,안내,배송시각안내,"[미건철물장식] 안녕하세요. 미건철물장식입니다.

주문에 감사드리며 문의하신 배송 내역 안내 드립니다.

주문하신 상품은 오늘 오후 4시 발송됩니다.

평일 오후 4시 이전 주문상품은 당일 발송되며 이후 주문건은 익일 평일 오후 4시에 일괄 발송되며, 평균 1~3일정도 소요됩니다.
토 일 및 공휴일엔 발송이 없으며 택배사(CJ대한통운)사정에 따라 변동될 수 있습니다.
자세한 배송 정보는 발송 당일 늦은저녁부터 네이버쇼핑 주문내역과 CJ대한통운 홈페이지를 통해 조회 가능합니다.

상품 관련 궁금하신점이 있으시면 언제든지 문의주세요^^ 감사합니다!"
16,안내,입금확인안내,"[미건철물장식] 입금 확인 되셨으며 발송 후 안내 문자 보내드립니다.
주문하신 상품은 꼼꼼히 검수하여 안전하게 발송 됩니다.
관련 궁금하신점 있으시면 언제든 문의 주세요! 감사합니다."
17,안내,매장안내,"안녕하세요. 미건철물장식입니다.

철물장식,인테리어철물,손잡이,도어락,디지털키,우편함,수전,힌지,트렌치,그림걸이 등 각종주문설치 도소매.

충청북도 청주시 상당구 남사로83번길 29-2 미건철물장식 Tel 043-250-9795 FAX 043-221-9794
고객상담 010-2794-9795

네이버 검색창에'미건철물장식' 검색
http://storefarm.naver.com/migundiy "
18,교환,교환변경반품접수,"[미건철물장식] 안녕하세요. 미건철물장식입니다.

먼저 저희 제품을 이용해 주셔서 대단히 감사드리며 요청하신 교환건에 대한 안내 드립니다.
네이버 정책상 옵션상품 교환에 따른 가격 지불 방식이 지원되지 않아 반품 후 신규주문으로 안내해 드리고 있사오니 양해 부탁 드립니다.

요청하신 교환건은 반품으로 변경되어 자동 수거 접수 됩니다.

-반품 상품은 사은품(피스 등)과 함께 안전포장하여 기사님께 부탁 드립니다.
-설치용 피스 포함 상품 누락 시 미리 연락 주세요. 임의 누락 시 환불이 어렵거나 추가금이 발생합니다.
-반품배송비는 왕복 기준 5,500원이며 지역에 따라 차등적용 되며 상품 도착 후 별도 청구 예정입니다.
-교환배송비 선결제하신 경우 자동 환불 됩니다.
-1~2일 이내 수거되며, 늦어질 시 연락 주시면 즉시 처리해 드립니다.
-안심번호 사용 시 수거가 지연될 수 있습니다. 미리 업체로 연락 주세요.
-수거지 변경/직접 반품 등은 CJ대한통운를 통해 착불로 보내주실 수 있으며 이외 택배사 이용 시 거절될 수 있습니다.
-추가 배송비나 상품 누락 파손 등 발생 시 반품이 거절될 수 있습니다.

궁금하신점이 있으시면 언제든지 문의 주세요. 감사합니다!"
19,교환,교환재주문추천,"[미건철물장식] 안녕하세요. 미건철물장식입니다.
네이버쇼핑 결제 정책에 따라 동일 금액에 한해 교환이 가능합니다. 이에 옵션 변경이나 기타 상품으로 변경하고자 하시는 경우 신규로 주문해 주시고, 기존 상품은 반품으로 접수 부탁드립니다.
배송비는 왕복으로 서로 동일하며 교환보다 상대적으로 빨리 받아보실 수 있으니 참고해 주세요.
반품은 구매내역을 통해 접수 가능하며 접수 시 반품배송비는 환불금에서 차감으로 선택해 주시면 편리합니다.
접수 과정에서 반품 수거 불가 상품으로 안내되는 경우 업체에서 자동으로 별도 수거 요청해 드립니다.
확인해보시고 관련 의문사항이 있으시면 언제든지 저희 고객센터로 문의 주시기 바랍니다. 감사합니다^^"
20,안내,발송취소불가,"[미건철물장식] 안녕하세요. 미건철물장식입니다.
취소요청하신 상품은 이미 발송이 완료된 상품으로, 발송 이후 취소요청건에 대해선 취소 불가능 한 점 양해 부탁 드립니다.
배송시각안내
평일 오후4시, 주말 낯12시 당일발송. 이후시각 주문건 익일 발송
요청하신 취소건은 자동 취소 반려될 예정입니다.
관련 궁금하신점이 있으시면 언제든지 문의 남겨 주세요. 감사합니다."
21,안내,레일설치방법,"안녕하세요. 미건철물장식입니다.
레일 관련 참고하실만한 링크입니다.
naver지식백과>슬라이딩 레일(볼레일) 부착하기
https://terms.naver.com/entry.nhn?docId=1837019&cid=42910&categoryId=42910
naver지식백과>철 레일(백색레일) 부착하기
https://terms.naver.com/entry.nhn?docId=1837018&cid=42910&categoryId=42910"
22,안내,3단레일설치방법,"안녕하세요. 미건철물장식입니다.
레일 설치방법 안내 링크입니다.
naver지식백과>레일 설치하기
https://terms.naver.com/entry.nhn?cid=59928&docId=4369701&categoryId=59928
확인해 보시고 궁금하신점이 있으시면 언제든지 문의 주세요."
23,안내,경첩종류및조정방법,"안녕하세요. 미건철물장식입니다.
경첩 종류 및 조정 방법 관련 참고하실만한 링크입니다.
경첩의 종류 및 가구 문짝 조정
https://terms.naver.com/entry.nhn?docId=3577265&cid=58881&categoryId=58889"
24,문의,110도경첩,"안녕하세요. 미건철물장식입니다.
사진에 제품은 110도 아웃 규격으로 보입니다. (아웃경첩=덮방경첩, 문을 닫았을 때 문틀을 덮는 형태)
110도 아웃 제품은 홀컵(문짝쪽 경첩이 접혀들어가는 부분)의 지름이 35mm인 제품입니다.
또한 문 틀 두께에 따라 15~18mm이면 15t, 18mm이상이면 18t로 세부 구분됩니다.
홀컵 사이즈와 문 틀(문짝X) 두께를 측정해 보시고 선택하시기 바랍니다.
피스 위치는 제품마다 상이할 수 있습니다.
싱크경첩 씽크대 스무버 IREX https://smartstore.naver.com/migundiy/products/313760353
확인해 보시고 궁금하신점이 있으시면 언제든지 문의 주세요^^. 감사합니다!"
25,교환,교환내역안내,"[미건철물장식] 교환 안내 드립니다.
반품하신 상품은 정상 도착 후 검수를 마쳤습니다. 이에 따른 요청하신 교환 내역 안내해 드립니다.
반품내역
3품목 수량
교환내역
3품목 수량
차액
+2,700원 교환배송비(왕복) 포함 총 7,700원 이며,
계좌 기업은행 010-2794-9795 박상은 으로 입금해 주시면 확인 즉시 교환상품으로 발송해 드립니다.
확인해보시고 연락 주세요^^ 감사합니다!"
26,반품,반품배송비안내,"반품 접수 시 반품배송비 청구방식을 ""환불금에서 차감""으로 선택 시에만 반품배송비 차감 후 환불 가능합니다. 그 외 선택 시 환불금에서 판매자측 임의 차감 후 환불이 불가능한 점 양해 바랍니다.
반품 시 환불 금액 기준은 최초 결제금 전액이며 받으실 때 지불하신 배송비 2,500원이 포함되어 있습니다. 즉, 처음 주문 시 배송료 2,500원 포함 전액 환불됩니다.(기타 비용 제외)
확인해 보시고 궁금하신점이 있으시면 연락 주세요^^"
27,반품,반품접수방법안내,"[미건철물장식] 안녕하세요. 미건철물장식입니다.
사용치 않으신 상품에 한해 반품 및 환불 가능합니다.
반품배송비는 왕복 기준5,500원이며 접수 시 환불금에서 차감 선택해 주시기 바랍니다.
반품 접수는 네이버쇼핑 구매내역을 통해 접수하실 수 있으며 접수 확인 시 별도 수거요청 및 안내문자 발송되오니 참고해 주세요.(접수 시 자동수거 미지원 상품으로 안내되나 업체에서 별도 수거 접수 해드리오니 참고해 주세요)
확인해 보시고 관련 궁금하신점이 있으시면 언제든지 문의 주세요. 감사합니다!"
28,안내,레일업그레이드안내,"안녕하세요. 미건철물장식입니다.
아쉽게도 레일 종류별 호환은 어렵습니다. 가구 틈새 공간에 레일이 들어가게 되는데 레일마다 두께가 다르고 가구마다 그에 해당하는 레일에 맞춰 공간을 만들다 보니 변경설치는 어렵습니다.
단, 기존 백색레일이 설치된 경우 틈을 정확히 확인해 보시고 양쪽 각각13mm가 된다면 3단레일로 변경은 가능합니다만 추천해 드리진 않습니다. 부득이하게 변경이 필요하시다면 1mm만 달라도 사용이 어렵기 때문에 주의 하셔서 선택하시기 바랍니다.
확인해 보시고 궁금하신점이 있으시면 언제든지 문의 주세요. 감사합니다!"
29,반품,반품방법문의,"안녕하세요. 미건철물장식입니다.
사용하지 않은 재판매 가능한 상품에 한해 반품 및 환불 가능합니다. 구매내역 내 반품버튼을 통해 반품접수가 가능하며, 이때 배송비는 환불금에서 차감으로 선택해 주시고, 반품사유란에 사용하신 분에 대한 코멘트를 남겨주시면 좀 더 빠른 처리 가능합니다.
접수 시 자동수거불가안내될 수 있으나 업체에서 별도 수거요청 드리며 별도로 반품관련 안내문자가 발송되오니 참고해 주세요.
확인해 보시고 관련 궁금하신점이 있으시면 언제든지 문의 주세요. 감사합니다!"
30,반품,반품입금지연안내,"[미건철물장식]안녕하세요. 미건철물장식입니다.
접수하신 반품 관련 반품배송비가 발생하여 환불지연중인 주문건이 있습니다.
금액 및 계좌 안내 문자 발송해 드렸으며 지연 시 반품 취소될 수 있으니 빠른 확인 부탁드립니다.
감사합니다."
31,안내,레일측면요청,"안녕하세요. 미건철물장식입니다.
레일 종류 확인을 위해 서랍을 끝까지 여신 후 측면에서 레일 전체가 보이는 사진 한장 부탁드립니다^^"
32,안내,쪽대사진요청,"안녕하세요. 미건철물장식입니다.
레일 종류 확인을 위해 빼낸 서랍쪽 얇은 레일의 전체가 보이는 사진도 부탁드립니다.^^"
33,안내,구매후끝맺음,네 감사합니다! 상품 받아보시고 설치나 운용 관련 궁금하신점이 있으시면 언제든지 문의주세요^^
34,안내,반품배송비5천원?,"안녕하세요. 미건철물장식입니다.
최초 배송비를 선 결제하신 경우에도 제품불량 등이 아닌 사유로 '주문건 전체 반품접수'를 하시면, 네이버쇼핑 환불기준에 의해 최초 배송비와 상품금액(최초 결제한 전액) 전체 합산되어 환불이 됩니다.
즉, 최초배송비도 포함하여 전액 구매자에게 환불이 되기 때문에 최초배송비+반품배송비인 왕복 금액이 안내 및 청구됩니다.
좀 더 상세한 안내가 필요하시면 고객센터로 연락 주세요! 감사합니다."
35,안내,배송누락안내,"안녕하세요. 미건철물장식입니다.
배송 문제로 불편을 드려 정말 죄송합니다!
누락된 상품은 오늘 오후 추가 발송될 예정입니다. 발송 후 송장 안내 문자 발송 되오니 참고해 주세요.
다시 한번 배송 문제로 불편을 드린 점에 대해 고객님께 양해 부탁 드리며 관련하여 궁금하신점이 있으시면 언제든지 문의 주세요.
감사합니다."
36,안내,볼레일분리방법,"안녕하세요. 미건철물장식입니다.
볼레일은 백색레일과 달리 볼베어링 이탈을 막기 위해 잠금장치가 되어 있습니다.
분리 및 설치 시 이 부위를 열고 작업해 주셔야 합니다.
제품 상세보기 중 사진과 함께 안내되어 있으며, 아래 공유해 드리는 레일 설치방법 안내 링크에서도 확인 가능합니다.
naver지식백과>레일 설치하기
https://terms.naver.com/entry.nhn?cid=59928&docId=4369701&categoryId=59928
확인해 보시고 궁금하신점이 있으시면 언제든지 문의 주세요."
37,안내,배송현황안내,"주문하신 상품은 중간 물류터미널에 도착하여 배송 지역으로 이동중으로 확인됩니다.
금일(2020-07-10) 고객님께 배송될 예정이나, 정확한 배송 일정은 물류작업이 마무리 되는 오후시간에 다시 확인 부탁 드립니다.
지역 사정에 따라 배송일정이 1~2일 정도 더 소요될 수 있으며, 최근 코로나 이슈로 대면배송이 어려운 점 양해 바랍니다.
배송지연 문제로 불편을 드려 죄송합니다. 관련 궁금하신점이 있으시면 언제든지 문의 주세요.
감사합니다."
38,안내,피스구멍재사용,"안녕하세요. 미건철물장식입니다.
나사(피스) 위치는 규격 이외의 부분으로 제조사나 연식에 따라 상이합니다. 이에 레일 교체시 피스 위치가 변동될 수 있으며 가구에 맞춰 변경하여 설치 하시기 바랍니다.
간혹 기존 위치에 그대로 설치시 나사구멍이 헐거워 잘 빠지는 경우에는 가구매꿈이(퍼티) 등을 이용하시거나 가정에서 나무젓가락이나 이쑤시개 등으로 구멍을 막은 후 설치하시면 튼튼하게 설치 가능합니다.
확인해 보시고 관련 궁금하신점이 있으시면 언제든지 문의 주세요. 감사합니다!"
39,안내,택배없는날,"안녕하세요. 미건철물장식입니다.
'택배인 리프레시 데이' 시행으로 인해 14일(금)~15일(토)은 택배 발송이 없습니다.
배송은 17일부터 재개되며 14일부터 배송되지 못한 물량과 함께 배송되어 평소보다 다소 늦어질 수 있습니다.
배송 지연으로 인해 불편을 드린 점 양해 부탁 드립니다.
감사합니다."
40,안내,연말배송지연,"안녕하세요. 미건철물장식입니다.
먼저 배송지연으로 불편을 드려 정말 죄송합니다.
(배송예정일)
아시는 바와 같이 택배사에서 보건이슈와 연말 물류 증가로 인해 지난주 발송한 물류들 중 많은 상품들이 아직 배송중에 있는 것으로 확인됩니다. 이로 인해 배송지연되고 있는 점 고객님께 너른 양해 부탁드립니다.
저희 업체에서도 지속적으로 모니터링하여 최대한 빠른 시일 내에 받아보실 수 있도록 하겠습니다.
다시 한번 배송지연으로 인해 불편을 드린 점 양해 말씀 드립니다. 관련 궁금하신점이 있으시면 언제든지 문의주세요.
감사합니다."
41,상품추천,서랍레일 링크,"안녕하세요. 미건철물장식입니다.
서랍레일 백색/2단/3단/광폭/댐핑 https://smartstore.naver.com/migundiy/products/329125761
확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
42,상품추천,2단볼 링크,"안녕하세요. 미건철물장식입니다.
2단볼레일 https://smartstore.naver.com/migundiy/products/3206917117
확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
43,상품추천,3단광폭(댐핑) 링크,"안녕하세요. 미건철물장식입니다.
서랍레일 백색/2단/3단/광폭/댐핑 https://smartstore.naver.com/migundiy/products/654800879
확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
44,상품추천,싱크경첩 링크,"안녕하세요. 미건철물장식입니다.
싱크경첩 씽크대 스무버 IREX https://smartstore.naver.com/migundiy/products/313760353
확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
45,상품추천,장농경첩 링크,"안녕하세요. 미건철물장식입니다.
장롱경첩 180도 경첩 https://smartstore.naver.com/migundiy/products/315024393
확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
46,상품추천,손잡이 링크,"안녕하세요. 미건철물장식입니다.
가구손잡이 싱크대손잡이 https://smartstore.naver.com/migundiy/products/315548515
확인해 보시고 궁금하신점이 있으시면 언제든 문의주세요^^"
47,교환,교환접수안내,"[미건철물장식] 교환안내
교환 접수 및 수거 요청이 완료 되었습니다.

-동일상품가에 한해 교환 가능합니다. 교환하시고자 하시는 상품의 금액이 다를 경우 반품으로 변경접수됩니다.
-교환 상품은 사은품(피스 등)과 함께 안전포장하여 기사님께 부탁 드립니다.
-설치용 피스 포함 일부 누락 시 미리 연락 주세요. 임의 누락 시 교환이 어렵거나 추가금이 발생합니다.
-교환배송비는 왕복 기준 5,500원이며 지역에 따라 차등적용 됩니다.
-1~2일 이내 수거되며, 늦어질 시 연락 주시면 즉시 처리해 드립니다.
-안심번호 사용 시 수거가 지연될 수 있습니다. 미리 업체로 연락 주세요.
-수거 완료 후 교환상품이 발송되며 주문내역을 통해 배송조회하실 수 있습니다.
-추가 배송비나 상품 누락 파손 등 발생 시 교환이 거절될 수 있습니다.
-설치,규격 등으로 어려우신 경우 연락주시면 친절히 안내해 드리겠습니다.

궁금하신점이 있으시면 언제든지 문의 주세요^^ 감사합니다!"
48,안내,레일이 끝까지 들어가지 않아요,"안녕하세요. 미건철물장식입니다.
레일 설치 시 걸리거나 끝까지 안 들어 가는 경우 다음 몇 가지를 확인해 보실 수 있습니다.
- 틈새공간이 레일 두께와 일치 여부
레일마다 규격이 다르고 해당 규격에 맞는 가구에 설치하여야 합니다. 3단볼레일의 경우 두께 13mm로 서랍 좌우 틈새공간이 각각 13mm인 가구에 설치 가능합니다. 간혹, 가구 변형등에 의해 달라질 수 있으니 기존과 동일한 규격이더라도 다시 한번 체크해 보시면 좋습니다.
- 설치 과정에서 볼베어링의 정렬
레일 안쪽에 보시면 10cm가량의 연철로 볼베어링들이 고정되어 있는 볼베어링뭉치가 있습니다. 서랍을 끼는 과정에서 이 부분의 위치가 올바르게 잡히지 않은 경우 걸리는 증상이 나타날 수 있습니다. 결합 전 볼베어링뭉치를 앞쪽으로 당겨 작은레일이 이 뭉치 안으로 들어갈 수 있도록 위치해 주세요.
- 레일 자체만으로 동작해 봅니다.
위 과정들을 통해서도 뚜렷한 해결이 안 될 경우 설치된 레일을 다시 분리하여 레일 자체만으로 동작해 보고 걸리는 부위가 있는지 체크해 보세요. 레일 자체 문제 여부를 파악해 보실 수 있으며 만약 정상 동작 한다면 설치가 잘못된(피스 이탈, 레일 수평, 규격 변경 등) 경우로 예상해 보실 수 있습니다.
3단레일 설치 방법에 대한 상세 안내 입니다. 참고하셔서 확인해 보시면 좋습니다.
naver지식백과>레일 설치하기 https://terms.naver.com/entry.nhn?cid=59928&docId=4369701&categoryId=59928
확인해 보시고 관련 어려움이 있으시면 언제든지 문의 주세요^^"
49,안내,레일길이변경,"안녕하세요. 미건철물장식입니다.
레일 교체 시 기존 레일 길이를 확인해 보시고 그와 동일한 길이로 선택합니다.
제품에 따라 약 1cm정도의 차이는 있습니다.
신규 설치 시 움직이는 서랍 하판의 길이와 동일하거나 그보다 짧게 설치합니다.
레일 길이는 서랍의 인출 길이에 영향을 미칩니다.
너무 긴 인출 길이는 서랍을 열었을 때 무게중심을 앞으로 쏠리게 하며 가구에 따라 안전문제가 발생할 수 있으니 주의하세요.
확인해 보시고 관련 궁금하신점이 있으시면 언제든지 문의주세요. 감사합니다."
50,안내,레일길이선택방법,"안녕하세요. 미건철물장식입니다.
레일 길이는 인출되는 서랍 길이와 동일한 것이 일반적이며 최대 가구 내부 깊이를 넘어갈 순 없습니다.
레일 길이는 서랍 인출길이에 영항을 미치며 긴 인출 길이는 무게중심이 앞으로 쏠려 가구가 넘어갈 수 있으니 가구 형태나 재질 등을 고려하여야 합니다.
일반적으로 2단레일은 레일 길이의 2/3정도 인출되며 3단레일은 레일 전체 길이만큼 인출됩니다.(예 2단볼레일 300mm->대략200mm, 3단볼레일 300mm->300mm 인출)
판매되고 있는 레일은 50mm단위로 판매되며 제품별로 상이합니다. 레일마다 대략 10mm정도의 오차는 발생하며 만약 동일한 길이가 없는 경우 위 안내된 레일의 특성을 고려하여 가장 근접한 길이로 설치합니다.
만약 레일 길이 측정시 430mm인 경우 서랍장 내부 깊이가 450mm 이상이라면, 레일 길이는400mm 혹은 450mm로 선택 가능하며, 이 때 2단볼레일이라면 인출길이가 2/3정도인 점을 감안하여 대략10mm정도 더 열릴 수 있는 450mm로 설치를 권해 드립니다.
확인해 보시고 관련 궁금하신점이 있으시면 언제든지 문의주세요! 감사합니다^^"
